"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"113","ml_papapapapa_pp_0.01_029_.mpx","papapapapa","0.01","029",0.02,20,102,5
"114","ml_papapapapa_pp_0.01_029_.mpx","papapapapa","0.01","029",0.05,50,154,4
"115","ml_papapapapa_pp_0.01_029_.mpx","papapapapa","0.01","029",0.1,100,221,4
"116","ml_papapapapa_pp_0.01_029_.mpx","papapapapa","0.01","029",0.2,200,322,4
"117","ml_papapapapa_pp_0.01_030_.mpx","papapapapa","0.01","030",0.02,20,102,6
"118","ml_papapapapa_pp_0.01_030_.mpx","papapapapa","0.01","030",0.05,50,156,5
"119","ml_papapapapa_pp_0.01_030_.mpx","papapapapa","0.01","030",0.1,100,215,4
"120","ml_papapapapa_pp_0.01_030_.mpx","papapapapa","0.01","030",0.2,200,320,4
"121","ml_papapapapa_pp_0.01_031_.mpx","papapapapa","0.01","031",0.02,20,93,7
"122","ml_papapapapa_pp_0.01_031_.mpx","papapapapa","0.01","031",0.05,50,141,6
"123","ml_papapapapa_pp_0.01_031_.mpx","papapapapa","0.01","031",0.1,100,207,4
"124","ml_papapapapa_pp_0.01_031_.mpx","papapapapa","0.01","031",0.2,200,310,4
"125","ml_papapapapa_pp_0.01_032_.mpx","papapapapa","0.01","032",0.02,20,83,5
"126","ml_papapapapa_pp_0.01_032_.mpx","papapapapa","0.01","032",0.05,50,136,5
"127","ml_papapapapa_pp_0.01_032_.mpx","papapapapa","0.01","032",0.1,100,205,4
"128","ml_papapapapa_pp_0.01_032_.mpx","papapapapa","0.01","032",0.2,200,318,5
"129","ml_papapapapa_pp_0.01_033_.mpx","papapapapa","0.01","033",0.02,20,74,5
"130","ml_papapapapa_pp_0.01_033_.mpx","papapapapa","0.01","033",0.05,50,140,5
"131","ml_papapapapa_pp_0.01_033_.mpx","papapapapa","0.01","033",0.1,100,206,4
"132","ml_papapapapa_pp_0.01_033_.mpx","papapapapa","0.01","033",0.2,200,322,4
"133","ml_papapapapa_pp_0.01_034_.mpx","papapapapa","0.01","034",0.02,20,105,5
"134","ml_papapapapa_pp_0.01_034_.mpx","papapapapa","0.01","034",0.05,50,148,5
"135","ml_papapapapa_pp_0.01_034_.mpx","papapapapa","0.01","034",0.1,100,215,4
"136","ml_papapapapa_pp_0.01_034_.mpx","papapapapa","0.01","034",0.2,200,316,4
"137","ml_papapapapa_pp_0.01_035_.mpx","papapapapa","0.01","035",0.02,20,85,8
"138","ml_papapapapa_pp_0.01_035_.mpx","papapapapa","0.01","035",0.05,50,159,5
"139","ml_papapapapa_pp_0.01_035_.mpx","papapapapa","0.01","035",0.1,100,223,5
"140","ml_papapapapa_pp_0.01_035_.mpx","papapapapa","0.01","035",0.2,200,314,4
"141","ml_papapapapa_pp_0.01_036_.mpx","papapapapa","0.01","036",0.02,20,86,5
"142","ml_papapapapa_pp_0.01_036_.mpx","papapapapa","0.01","036",0.05,50,136,4
"143","ml_papapapapa_pp_0.01_036_.mpx","papapapapa","0.01","036",0.1,100,196,4
"144","ml_papapapapa_pp_0.01_036_.mpx","papapapapa","0.01","036",0.2,200,319,4
"145","ml_papapapapa_pp_0.01_037_.mpx","papapapapa","0.01","037",0.02,20,81,5
"146","ml_papapapapa_pp_0.01_037_.mpx","papapapapa","0.01","037",0.05,50,127,5
"147","ml_papapapapa_pp_0.01_037_.mpx","papapapapa","0.01","037",0.1,100,192,4
"148","ml_papapapapa_pp_0.01_037_.mpx","papapapapa","0.01","037",0.2,200,314,4
"149","ml_papapapapa_pp_0.01_038_.mpx","papapapapa","0.01","038",0.02,20,85,5
"150","ml_papapapapa_pp_0.01_038_.mpx","papapapapa","0.01","038",0.05,50,137,5
"151","ml_papapapapa_pp_0.01_038_.mpx","papapapapa","0.01","038",0.1,100,205,5
"152","ml_papapapapa_pp_0.01_038_.mpx","papapapapa","0.01","038",0.2,200,309,4
"153","ml_papapapapa_pp_0.01_039_.mpx","papapapapa","0.01","039",0.02,20,102,5
"154","ml_papapapapa_pp_0.01_039_.mpx","papapapapa","0.01","039",0.05,50,147,4
"155","ml_papapapapa_pp_0.01_039_.mpx","papapapapa","0.01","039",0.1,100,214,5
"156","ml_papapapapa_pp_0.01_039_.mpx","papapapapa","0.01","039",0.2,200,312,3
"157","ml_papapapapa_pp_0.01_040_.mpx","papapapapa","0.01","040",0.02,20,82,6
"158","ml_papapapapa_pp_0.01_040_.mpx","papapapapa","0.01","040",0.05,50,158,6
"159","ml_papapapapa_pp_0.01_040_.mpx","papapapapa","0.01","040",0.1,100,211,4
"160","ml_papapapapa_pp_0.01_040_.mpx","papapapapa","0.01","040",0.2,200,319,4
"161","ml_papapapapa_pp_0.01_041_.mpx","papapapapa","0.01","041",0.02,20,94,10
"162","ml_papapapapa_pp_0.01_041_.mpx","papapapapa","0.01","041",0.05,50,142,5
"163","ml_papapapapa_pp_0.01_041_.mpx","papapapapa","0.01","041",0.1,100,203,5
"164","ml_papapapapa_pp_0.01_041_.mpx","papapapapa","0.01","041",0.2,200,295,3
"165","ml_papapapapa_pp_0.01_042_.mpx","papapapapa","0.01","042",0.02,20,66,6
"166","ml_papapapapa_pp_0.01_042_.mpx","papapapapa","0.01","042",0.05,50,126,6
"167","ml_papapapapa_pp_0.01_042_.mpx","papapapapa","0.01","042",0.1,100,195,6
"168","ml_papapapapa_pp_0.01_042_.mpx","papapapapa","0.01","042",0.2,200,304,6
"169","ml_papapapapa_pp_0.01_043_.mpx","papapapapa","0.01","043",0.02,20,70,4
"170","ml_papapapapa_pp_0.01_043_.mpx","papapapapa","0.01","043",0.05,50,153,7
"171","ml_papapapapa_pp_0.01_043_.mpx","papapapapa","0.01","043",0.1,100,198,3
"172","ml_papapapapa_pp_0.01_043_.mpx","papapapapa","0.01","043",0.2,200,308,4
"173","ml_papapapapa_pp_0.01_044_.mpx","papapapapa","0.01","044",0.02,20,108,7
"174","ml_papapapapa_pp_0.01_044_.mpx","papapapapa","0.01","044",0.05,50,153,6
"175","ml_papapapapa_pp_0.01_044_.mpx","papapapapa","0.01","044",0.1,100,205,6
"176","ml_papapapapa_pp_0.01_044_.mpx","papapapapa","0.01","044",0.2,200,311,4
"177","ml_papapapapa_pp_0.01_045_.mpx","papapapapa","0.01","045",0.02,20,96,5
"178","ml_papapapapa_pp_0.01_045_.mpx","papapapapa","0.01","045",0.05,50,149,4
"179","ml_papapapapa_pp_0.01_045_.mpx","papapapapa","0.01","045",0.1,100,221,4
"180","ml_papapapapa_pp_0.01_045_.mpx","papapapapa","0.01","045",0.2,200,328,4
"181","ml_papapapapa_pp_0.01_046_.mpx","papapapapa","0.01","046",0.02,20,99,6
"182","ml_papapapapa_pp_0.01_046_.mpx","papapapapa","0.01","046",0.05,50,148,6
"183","ml_papapapapa_pp_0.01_046_.mpx","papapapapa","0.01","046",0.1,100,209,5
"184","ml_papapapapa_pp_0.01_046_.mpx","papapapapa","0.01","046",0.2,200,308,4
"185","ml_papapapapa_pp_0.01_047_.mpx","papapapapa","0.01","047",0.02,20,94,8
"186","ml_papapapapa_pp_0.01_047_.mpx","papapapapa","0.01","047",0.05,50,145,6
"187","ml_papapapapa_pp_0.01_047_.mpx","papapapapa","0.01","047",0.1,100,200,6
"188","ml_papapapapa_pp_0.01_047_.mpx","papapapapa","0.01","047",0.2,200,306,5
"189","ml_papapapapa_pp_0.01_048_.mpx","papapapapa","0.01","048",0.02,20,83,8
"190","ml_papapapapa_pp_0.01_048_.mpx","papapapapa","0.01","048",0.05,50,131,5
"191","ml_papapapapa_pp_0.01_048_.mpx","papapapapa","0.01","048",0.1,100,191,4
"192","ml_papapapapa_pp_0.01_048_.mpx","papapapapa","0.01","048",0.2,200,298,4
"193","ml_papapapapa_pp_0.01_049_.mpx","papapapapa","0.01","049",0.02,20,93,8
"194","ml_papapapapa_pp_0.01_049_.mpx","papapapapa","0.01","049",0.05,50,155,6
"195","ml_papapapapa_pp_0.01_049_.mpx","papapapapa","0.01","049",0.1,100,226,5
"196","ml_papapapapa_pp_0.01_049_.mpx","papapapapa","0.01","049",0.2,200,329,3
"197","ml_papapapapa_pp_0.01_050_.mpx","papapapapa","0.01","050",0.02,20,77,6
"198","ml_papapapapa_pp_0.01_050_.mpx","papapapapa","0.01","050",0.05,50,157,7
"199","ml_papapapapa_pp_0.01_050_.mpx","papapapapa","0.01","050",0.1,100,208,5
"200","ml_papapapapa_pp_0.01_050_.mpx","papapapapa","0.01","050",0.2,200,312,3
"201","ml_papapapapa_pp_0.01_051_.mpx","papapapapa","0.01","051",0.02,20,79,5
"202","ml_papapapapa_pp_0.01_051_.mpx","papapapapa","0.01","051",0.05,50,131,4
"203","ml_papapapapa_pp_0.01_051_.mpx","papapapapa","0.01","051",0.1,100,202,5
"204","ml_papapapapa_pp_0.01_051_.mpx","papapapapa","0.01","051",0.2,200,320,3
"205","ml_papapapapa_pp_0.01_052_.mpx","papapapapa","0.01","052",0.02,20,99,6
"206","ml_papapapapa_pp_0.01_052_.mpx","papapapapa","0.01","052",0.05,50,148,4
"207","ml_papapapapa_pp_0.01_052_.mpx","papapapapa","0.01","052",0.1,100,212,4
"208","ml_papapapapa_pp_0.01_052_.mpx","papapapapa","0.01","052",0.2,200,323,4
"209","ml_papapapapa_pp_0.01_053_.mpx","papapapapa","0.01","053",0.02,20,91,6
"210","ml_papapapapa_pp_0.01_053_.mpx","papapapapa","0.01","053",0.05,50,159,6
